Customer ID,Recency,Frequency,Monetary,Cluster
CUST001,39,1,150,1
CUST002,309,1,1000,0
CUST003,354,1,30,2
CUST004,226,1,500,2
CUST005,241,1,100,2
CUST006,252,1,30,2
CUST007,295,1,50,2
CUST008,314,1,100,2
CUST009,20,1,600,1
CUST010,87,1,200,1
CUST011,322,1,100,2
CUST012,64,1,75,1
CUST013,150,1,1500,3
CUST014,350,1,120,2
CUST015,351,1,2000,0
CUST016,319,1,1500,0
CUST017,255,1,100,2
CUST018,247,1,50,2
CUST019,108,1,50,1
CUST020,58,1,900,3
CUST021,353,1,500,2
CUST022,79,1,100,1
CUST023,265,1,120,2
CUST024,34,1,300,1
CUST025,7,1,50,1
CUST026,87,1,1000,3
CUST027,152,1,50,1
CUST028,254,1,500,2
CUST029,137,1,30,1
CUST030,65,1,900,3
CUST031,224,1,1200,0
CUST032,363,1,90,2
CUST033,285,1,100,2
CUST034,9,1,150,1
CUST035,150,1,900,3
CUST036,192,1,900,0
CUST037,224,1,75,2
CUST038,287,1,200,2
CUST039,256,1,120,2
CUST040,194,1,50,2
CUST041,314,1,50,2
CUST042,319,1,900,0
CUST043,172,1,300,1
CUST044,317,1,25,2
CUST045,183,1,30,1
CUST046,190,1,1200,0
CUST047,57,1,1500,3
CUST048,231,1,900,0
CUST049,344,1,1000,0
CUST050,131,1,75,1
CUST051,92,1,75,1
CUST052,303,1,300,2
CUST053,173,1,100,1
CUST054,326,1,1500,0
CUST055,84,1,120,1
CUST056,216,1,900,0
CUST057,45,1,30,1
CUST058,50,1,1200,3
CUST059,181,1,50,1
CUST060,71,1,150,1
CUST061,268,1,200,2
CUST062,6,1,100,1
CUST063,331,1,50,2
CUST064,343,1,100,2
CUST065,28,1,2000,3
CUST066,250,1,30,2
CUST067,218,1,1200,0
CUST068,326,1,300,2
CUST069,247,1,75,2
CUST070,315,1,300,2
CUST071,172,1,100,1
CUST072,224,1,2000,0
CUST073,134,1,90,1
CUST074,41,1,2000,3
CUST075,180,1,200,1
CUST076,283,1,100,2
CUST077,177,1,100,1
CUST078,185,1,1500,0
CUST079,259,1,300,2
CUST080,23,1,60,1
CUST081,230,1,50,2
CUST082,7,1,200,1
CUST083,17,1,100,1
CUST084,35,1,90,1
CUST085,330,1,150,2
CUST086,55,1,90,1
CUST087,41,1,100,1
CUST088,279,1,500,2
CUST089,93,1,2000,3
CUST090,241,1,30,2
CUST091,283,1,500,2
CUST092,130,1,120,1
CUST093,172,1,2000,3
CUST094,228,1,1000,0
CUST095,39,1,60,1
CUST096,14,1,600,1
CUST097,81,1,1000,3
CUST098,254,1,100,2
CUST099,16,1,1200,3
CUST100,200,1,30,2
CUST1000,265,1,120,2
CUST101,338,1,600,2
CUST102,249,1,50,2
CUST103,350,1,25,2
CUST104,205,1,1000,0
CUST105,161,1,500,1
CUST106,229,1,50,2
CUST107,333,1,1200,0
CUST108,258,1,75,2
CUST109,76,1,2000,3
CUST110,205,1,900,0
CUST111,258,1,1500,0
CUST112,31,1,1500,3
CUST113,111,1,50,1
CUST114,164,1,100,1
CUST115,37,1,1500,3
CUST116,132,1,30,1
CUST117,293,1,1000,0
CUST118,231,1,2000,0
CUST119,295,1,150,2
CUST120,240,1,50,2
CUST121,79,1,200,1
CUST122,91,1,120,1
CUST123,232,1,60,2
CUST124,67,1,2000,3
CUST125,147,1,100,1
CUST126,68,1,90,1
CUST127,162,1,50,1
CUST128,181,1,500,1
CUST129,254,1,600,2
CUST130,296,1,500,2
CUST131,106,1,600,1
CUST132,114,1,200,1
CUST133,320,1,900,0
CUST134,342,1,50,2
CUST135,310,1,50,2
CUST136,288,1,600,2
CUST137,45,1,1000,3
CUST138,285,1,200,2
CUST139,18,1,2000,3
CUST140,150,1,30,1
CUST141,61,1,50,1
CUST142,334,1,1200,0
CUST143,169,1,50,1
CUST144,171,1,1500,3
CUST145,61,1,75,1
CUST146,127,1,200,1
CUST147,96,1,300,1
CUST148,238,1,60,2
CUST149,83,1,75,1
CUST150,361,1,120,2
CUST151,18,1,50,1
CUST152,308,1,2000,0
CUST153,17,1,1000,3
CUST154,92,1,900,3
CUST155,230,1,2000,0
CUST156,38,1,100,1
CUST157,192,1,2000,0
CUST158,309,1,600,2
CUST159,216,1,200,2
CUST160,144,1,100,1
CUST161,286,1,1000,0
CUST162,134,1,60,1
CUST163,365,1,150,2
CUST164,232,1,1500,0
CUST165,110,1,1200,3
CUST166,275,1,2000,0
CUST167,107,1,150,1
CUST168,312,1,300,2
CUST169,46,1,1500,3
CUST170,214,1,50,2
CUST171,39,1,900,3
CUST172,107,1,50,1
CUST173,55,1,120,1
CUST174,265,1,300,2
CUST175,288,1,100,2
CUST176,175,1,100,1
CUST177,284,1,100,2
CUST178,90,1,60,1
CUST179,95,1,300,1
CUST180,366,1,900,0
CUST181,60,1,1200,3
CUST182,201,1,120,2
CUST183,116,1,900,3
CUST184,357,1,200,2
CUST185,309,1,25,2
CUST186,181,1,200,1
CUST187,209,1,100,2
CUST188,244,1,75,2
CUST189,337,1,50,2
CUST190,243,1,90,2
CUST191,76,1,25,1
CUST192,326,1,100,2
CUST193,323,1,1500,0
CUST194,118,1,200,1
CUST195,331,1,30,2
CUST196,94,1,900,3
CUST197,302,1,200,2
CUST198,301,1,900,0
CUST199,29,1,1500,3
CUST200,123,1,150,1
CUST201,85,1,25,1
CUST202,282,1,1200,0
CUST203,231,1,1000,0
CUST204,96,1,25,1
CUST205,56,1,25,1
CUST206,150,1,25,1
CUST207,258,1,50,2
CUST208,90,1,200,1
CUST209,13,1,200,1
CUST210,264,1,200,2
CUST211,1,1,1500,3
CUST212,207,1,1500,0
CUST213,162,1,1500,3
CUST214,23,1,60,1
CUST215,34,1,1500,3
CUST216,175,1,100,1
CUST217,142,1,200,1
CUST218,102,1,90,1
CUST219,135,1,90,1
CUST220,305,1,500,2
CUST221,240,1,600,2
CUST222,251,1,120,2
CUST223,334,1,25,2
CUST224,193,1,50,2
CUST225,356,1,100,2
CUST226,65,1,50,1
CUST227,83,1,100,1
CUST228,249,1,60,2
CUST229,65,1,90,1
CUST230,254,1,25,2
CUST231,363,1,150,2
CUST232,330,1,25,2
CUST233,4,1,600,1
CUST234,43,1,50,1
CUST235,336,1,1000,0
CUST236,249,1,25,2
