Feature,Importance
V14,0.1798566292662829
V10,0.11544243080218056
V12,0.09620640675639695
V4,0.09564638973813987
V17,0.09511264838374607
V3,0.0686694650035517
V11,0.056112333944723085
V16,0.040302500073390465
V2,0.036264568704660397
V9,0.026887872965560645
V7,0.02436085365799506
V21,0.017464086725297173
V18,0.011938753846101451
V19,0.011239267289306904
Amount,0.011167815000217119
V8,0.01107484337298163
V20,0.010558923582395211
V27,0.010412828285996071
V1,0.009840659995085195
V26,0.009600036383807376
V13,0.00869310342178572
V5,0.007699672521570929
V28,0.007105708658029134
V15,0.006964393828260329
V22,0.005800091140541449
V6,0.005656486445545712
V23,0.005279582577338879
Time,0.005268657856375735
V25,0.005047677975188066
V24,0.0043253117975482515
