Category,Apps,Average_Rating,Total_Reviews,Total_Installs
GAME,959,4.249947862356621,622298709.0,13878924415.0
COMMUNICATION,315,4.154920634920635,285811368.0,11038276251.0
TOOLS,827,4.073881499395405,229356578.0,8001771915.0
PRODUCTIVITY,374,4.206149732620321,55590649.0,5793091369.0
SOCIAL,239,4.2552301255230125,227927801.0,5487867902.0
PHOTOGRAPHY,281,4.166548042704626,105351270.0,4649147655.0
FAMILY,1832,4.194377729257642,143825488.0,4427941505.0
VIDEO_PLAYERS,163,4.068098159509202,67484568.0,3926902720.0
TRAVEL_AND_LOCAL,219,4.103196347031964,26819741.0,2894887146.0
NEWS_AND_MAGAZINES,254,4.156692913385827,23130228.0,2369217760.0
ENTERTAINMENT,102,4.135294117647059,34762650.0,2113660000.0
BOOKS_AND_REFERENCE,222,4.334234234234234,16721314.0,1665969576.0
PERSONALIZATION,376,4.3255319148936175,53543080.0,1532494782.0
SHOPPING,202,4.237623762376238,44551730.0,1400348785.0
HEALTH_AND_FITNESS,288,4.251736111111111,21361355.0,1144022512.0
SPORTS,325,4.232923076923077,35348813.0,1096474498.0
BUSINESS,420,4.173809523809524,9890245.0,697164865.0
LIFESTYLE,369,4.131436314363143,11832671.0,503823539.0
MAPS_AND_NAVIGATION,131,4.062595419847328,17729148.0,503281890.0
FINANCE,345,4.138550724637681,12662106.0,455348734.0
WEATHER,79,4.248101265822785,12295164.0,361100520.0
EDUCATION,119,4.363865546218487,13364148.0,352952000.0
FOOD_AND_DRINK,112,4.192857142857142,6325028.0,211798751.0
DATING,171,4.041520467836257,3623544.0,140926107.0
ART_AND_DESIGN,64,4.3546875,1419203.0,114338100.0
HOUSE_AND_HOME,74,4.174324324324324,1929847.0,97212461.0
AUTO_AND_VEHICLES,85,4.205882352941177,1163666.0,53130211.0
LIBRARIES_AND_DEMO,84,4.207142857142857,906831.0,52995910.0
COMICS,56,4.185714285714286,2342071.0,44981150.0
MEDICAL,395,4.202025316455696,1182971.0,38193177.0
PARENTING,60,4.3,958331.0,31521110.0
BEAUTY,53,4.283018867924528,396240.0,27197050.0
EVENTS,64,4.3953125,161018.0,15973161.0
1.9,1,19.0,967.0,0.0
